id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
130,Pintura y Grabado Hoy en Venezuela,Pintura y Grabado Hoy en Venezuela*1968,,Roberto Guevara,,d.303,,1968,12,25,1969,1,3,1968-12-25,1969-01-03,9,"Alirio Rodríguez, Elsa Gramcko, Mateo Manaure, Marcel Floris, Mario Abreu, Régulo Pérez, Ómar Carreño, Teresa Casanova, Vásquez Brito, Virgilio Trompiz, Édgar Sánchez, Francisco Salazar, Guevara Moreno, Hugo Baptista, Manuel Mérida, Rafael Bogarin, Teresa Casanova, Luis Chacón, Rolando Dorrego, Annelies Feige, Gertrudis Goldschmidt, Luisa Palacios, José Antonio Quintero, Maruja Rolando, Juan Santana, Elisa Elvira Zuloaga",,,,,,Sala única,,,,"Embajada de Venezuela, Instituto Nacional de Cultura y Bellas Artes",,,d64.pdf,,,131
131,María Teresa Vieco,María Teresa Vieco*1969,,,,,,1969,1,31,,,,1969-01-31,1900-01-01,#NUM!,María Teresa Vieco,,,,,,Sala única,,,,,,,,,,132
132,Édgar Negret,Édgar Negret*1969,,,,,,1969,2,21,,,,1969-02-21,1900-01-01,#NUM!,Édgar Negret,,,,,,Sala única,,,,,,,,,,133
133,Lucy Tejada,Lucy Tejada*1969,,,,d.492,,1969,3,7,,,,1969-03-07,1900-01-01,#NUM!,Lucy Tejada,,,,,,Sala única,,,,,,,,,,134
134,Exposición de Álvaro Barrios,Exposición de Álvaro Barrios*1969,,Maria Cleofe,,,,1969,3,28,,,,1969-03-28,1900-01-01,#NUM!,Álvaro Barrios,,,,,,Sala única,,,,,,,,,,135
135,Gianfranco Galante,Gianfranco Galante*1969,,,,d.343,,1969,4,20,,,,1969-04-20,1900-01-01,#NUM!,Gianfranco Galante,,,,,,Sala única,,,,,,,d69.pdf,,,136
136,Rogelio Polesello y Lya Kaufman,Rogelio Polesello y Lya Kaufman*1969,,,,d.493,,1969,5,9,,,,1969-05-09,1900-01-01,#NUM!,"Rogelio Polesello,Lia Kaufman",,,,,,Sala única,,,,"Embajada de Argentina, Consulado en Cali",,,,,,137
137,Enrique Grau,Enrique Grau*1969,,,,d.342,,1969,5,30,,,,1969-05-30,1900-01-01,#NUM!,Enrique Grau,,,,,,Sala única,,,,Embajada de Argentina,,,d68.pdf,,,138
138,XX Salón de Artistas Nacionales,XX Salón de Artistas Nacionales*1969,,,,,,1969,6,21,,,,1969-06-21,1969-07-07,16,"Pedro Alcántara Herrán, Alberto Betancourt, Magdalena Bravo, Héctor Castro, Francisco Cárdenas, Antonio Grass, Noemí de Greiff, Carlos Granada, Álvaro Herrán, Marlene Hoffmann, Manuel Hernández, Silvia Mallarino, Mónica Meira, León Múnera, Raúl Marroquín, Cecilia Mejía, Jairo Mejía, Yolanda Pineda, Ofelia Rodríguez, Eduardo Ramírez Villamizar, Fabio Rodríguez, Carlos Rojas, Ómar Rayo,Nirma Zárate",,,,,,Sala única,,,,Propal S.A.,,,,,,139
139,Exposición de arte gráfico alemán contemporáneo ,Exposición de arte gráfico alemán contemporáneo *1969,,,,,,1969,8,12,,,,1969-08-12,1900-01-01,#NUM!,"Horst Antes, Klaus Peter Brehmer, Gernot Bubenik, Conrad, Günter Fruhtrunk, Rupprecht Geiger, Sine Hansen, Horst Janssen, Hosrt Egon Kalinowski, Utz Kampmann, Konrad Klapheck, Axel Knopp, Fritz Kothe, Ferdinand Kriwet, Rainer Kuchenmeister, Uwe Lausen, Arnold Leissler, Thomas Lenk, Heinz Mack, Friederich Meckseper, Herbert Oehm, Wolfang Oppermann, Georg Karl Pfahier, Otto Piene, Lothar Quinte, Werner Schreib, Bernard Schultze, Günther Uecker, Ursula, Bernd Volkle, Jan Voss, Ludwing Wilding, Lambert María Wintersberger,Paul Wunderlich",,,,,,Sala única,,,,"Embajada de Alemania,Concejo Alemán de Bellas Artes ",,,,,,140
