nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Guillermo Pérez Villalta,2304,,,,,,,,,,,artista,,0,,,,
Gustavo Adolfo González,2305,,,,,,,,,,,artista,,0,,,,
Gustavo Gómez Casallas,2306,,,,,,,,,,,artista,,0,,,,
Gustavo López Armentía,2307,,,,,,,,,,,artista,,0,,,,
Héctor Contte Pau,2308,,,,,,,,,,,artista,,0,,,,
Héctor Fabio Oviedo,2309,,,,,,,,,,,artista,,0,,,,
Héctor Martínez Cala,2310,,,,,,,,,,,artista,,0,,,,
Heloisa María Pini,2311,,,,,,,,,,,artista,,0,,,,
Henrique Leo Fuhro,2312,,,,,,,,,,,artista,,0,,,,
Henry Saúl Gil,2313,,,,,,,,,,,artista,,0,,,,
Hermana Mary Corita,2314,,,,,,,,,,,artista,,0,,,,
Hernán Darío Correa,2315,,,,,,,,,,,artista,,0,,,,
Hernán Darío Santos,2316,,,,,,,,,,,artista,,0,,,,
Hiroko Stato Pijanowski,2317,,,,,,,,,,,artista,,0,,,,
Hosrt Egon Kalinowski,2318,,,,,,,,,,,artista,,0,,,,
Hugo Andrade Londoño,2319,,,,,,,,,,,artista,,0,,,,
Hugo de Marziani,2320,,,,,,,,,,,artista,,0,,,,
Isabel Cuervo Casabianca,2321,,,,,,,,,,,artista,,0,,,,
Iván Darío Roldán,2322,,,,,,,,,,,artista,,0,,,,
J. Wolfgang Beck,2323,,,,,,,,,,,artista,,0,,,,
Jaime López Correa,2324,,,,,,,,,,,artista,,0,,,,
James E. Newton,2325,,,,,,,,,,,artista,,0,,,,
Jan Van Leeuwen,2326,,,,,,,,,,,artista,,0,,,,
Jaune Quick-To-See Smith,2327,,,,,,,,,,,artista,,0,,,,
Javier de María Campos,2328,,,,,,,,,,,artista,,0,,,,
Javier Iván Barrios,2329,,,,,,,,,,,artista,,0,,,,
Jean Rene Jerome,2330,,,,,,,,,,,artista,,0,,,,
Jesus María Espinoza,2331,,,,,,,,,,,artista,,0,,,,
Jesús Ruiz Durán,2332,,,,,,,,,,,artista,,0,,,,
Joan Fraerman Binkley,2333,,,,,,,,,,,artista,,0,,,,
Joan Hernández Pijuán,2334,,,,,,,,,,,artista,,0,,,,
Joao Camara Filho,2335,,,,,,,,,,,artista,,0,,,,
Joao de Barros,2336,,,,,,,,,,,artista,,0,,,,
Joao Roberto Nascimento,2337,,,,,,,,,,,artista,,0,,,,
Johann Baptiste Isenring,2338,,,,,,,,,,,artista,,0,,,,
John Edward González,2339,John Edward ,González,,Jhon Edward González,1969,,M,Colombiana,Colombia,Cali,artista,,0,,,,
John Freddy Cardona,2340,John Freddy ,Cardona,,Jhon Fredy Cardona,1975,,M,Colombiana,Colombia,Sabaneta/Antioquia,artista,,0,,,,
John Michael Armleder,2341,,,,,,,,,,,artista,,0,,,,
John Thomas Biggers,2342,,,,,,,,,,,artista,,0,,,,
Joke Van Ommen,2343,,,,,,,,,,,artista,,0,,,,
Jorge Elías Triana,2344,,,,,,,,,,,artista,,0,,,,
Jorge Enrique Madriñán,2345,,,,,,,,,,,artista,,0,,,,
Jorge Luis de la Vega,2346,,,,,,,,,,,artista,,0,,,,
Jorge Mario Gómez,2347,,,,,,,,,,,artista,,0,,,,
Jorge Mario Múnera,2348,,,,,,,,,,,artista,,0,,,,
José Alejandro Restrepo,2349,,,,,,,,,,,artista,,0,,,,
José Antonio Díaz,2350,,,,,,,,,,,artista,,0,,,,
José Antonio Franco,2351,,,,,,,,,,,artista,,0,,,,
José Antonio Quinteros,2352,,,,,,,,,,,artista,,0,,,,
José Antonio Torres,2353,,,,,,,,,,,artista,,0,,,,
José Clemente Rodríguez,2354,,,,,,,,,,,artista,,0,,,,
José Contino,2355,,,,,,,,,,,artista,,0,,,,
José de Rokha,2356,,,,,,,,,,,artista,,0,,,,
José Domingo Rodríguez,2357,,,,,,,,,,,artista,,0,,,,
José Fernando García,2358,,,,,,,,,,,artista,,0,,,,
José Gómez Fresquet,2359,,,,,,,,,,,artista,,0,,,,
José Luis de Figueroa,2360,,,,,,,,,,,artista,,0,,,,
José Luis Posada,2361,,,,,,,,,,,artista,,0,,,,
José Luis Rochet,2362,,,,,,,,,,,artista,,0,,,,
José Luis Vicent,2363,,,,,,,,,,,artista,,0,,,,
José Luis Yturralde,2364,,,,,,,,,,,artista,,0,,,,
José Manuel Groot,2365,,,,,,,,,,,artista,,0,,,,
José María Vidal,2366,,,,,,,,,,,artista,,0,,,,
José Monjales Soler,2367,,,,,,,,,,,artista,,0,,,,
José Nazario Clároz,2368,,,,,,,,,,,artista,,0,,,,
José Orlando Salgado,2369,,,,,,,,,,,artista,,0,,,,
José R. Alicea,2370,,,,,,,,,,,artista,,0,,,,
Joseph Ross Jr.,2371,,,,,,,,,,,artista,,0,,,,
Juan Alberto Bordalejo,2372,,,,,,,,,,,artista,,0,,,,
Juan Andrés Posada,2373,,,,,,,,,,,artista,,0,,,,
Juan Blanco López,2374,,,,,,,,,,,artista,,0,,,,
Juan Carlos Cuadros,2375,,,,,,,,,,,artista,,0,,,,
Juan Carlos Franco,2376,,,,,,,,,,,artista,,0,,,,
Juan Carlos Gómez,2377,,,,,,,,,,,artista,,0,,,,
Juan Carlos Rodríguez,2378,,,,,,,,,,,artista,,0,,,,
Juan Cristóbal Aguilar,2379,,,,,,,,,,,artista,,0,,,,
Juan David Giraldo,2380,,,,,,,,,,,artista,,0,,,,
Juan David Medina,2381,Juan David,Medina,,,1975,,M,Colombiana,Colombia,Cali ,artista,,0,,,,
Juan Fernando Ordóñez,2382,,,,,,,,,,,artista,,0,,,,
Juan Gómez Quiroz,2383,,,,,,,,,,,artista,,0,,,,
Juan Manuel Caneja,2384,,,,,,,,,,,artista,,0,,,,
Juan Manuel Colombia,2385,,,,,,,,,,,artista,,0,,,,
Juan Manuel Salcedo,2386,,,,,,,,,,,artista,,0,,,,
Juan Miguel Figueroa,2387,,,,,,,,,,,artista,,0,,,,
Juan Pablo Fajardo,2388,,,,,,,,,,,artista,,0,,,,
Juan Pablo Renzi,2389,,,,,,,,,,,artista,,0,,,,
Juan Ramón Giraldo,2390,,,,,,,,,,,artista,,0,,,,
Juan Ramón Velásquez,2391,,,,,,,,,,,artista,,0,,,,
Juan Vázquez Martin,2392,,,,,,,,,,,artista,,0,,,,
Julia de Quintero,2393,,,,,,,,,,,artista,,0,,,,
Julián Eduardo Posada,2394,,,,,,,,,,,artista,,0,,,,
Julio Abel Sánchez,2395,,,,,,,,,,,artista,,0,,,,
Julio Micheli Lebrón,2396,,,,,,,,,,,artista,,0,,,,
Keith Alan Lewis,2397,,,,,,,,,,,artista,,0,,,,
Klaus Peter Brehmer,2398,,,,,,,,,,,artista,,0,,,,
Lambert María Wintersberger,2399,,,,,,,,,,,artista,,0,,,,
Lee N. Smith III,2400,,,,,,,,,,,artista,,0,,,,
Lino Eneas Spilinbergo,2401,,,,,,,,,,,artista,,0,,,,
Luis Alberto Acuña,2402,,,,,,,,,,,artista,,0,,,,
Luis Eduardo Garzón Flórez,2403,,,,,,,,,,,artista,,0,,,,
Luis Eduardo Mondragón,2404,,,,,,,,,,,artista,,0,,,,
Luis Eduardo Ricaurte,2405,,,,,,,,,,,artista,,0,,,,
Luis F. Benedit,2406,,,,,,,,,,,artista,,0,,,,
Luis F. Noé,2407,,,,,,,,,,,artista,,0,,,,
Luis Fernando García,2408,,,,,,,,,,,artista,,0,,,,
Luis Fernando Mejía,2409,,,,,,,,,,,artista,,0,,,,
Luis Fernando Puerta,2410,,,,,,,,,,,artista,,0,,,,
Luis Fernando Rodríguez,2411,,,,,,,,,,,artista,,0,,,,
Luis Fernando Sepúlveda,2412,,,,,,,,,,,artista,,0,,,,
Luis Fernando Uribe,2413,,,,,,,,,,,artista,,0,,,,
Luis Fernando Valencia,2414,,,,,,,,,,,artista,,0,,,,
Luis J. Gutiérrez,2415,,,,,,,,,,,artista,,0,,,,
Luis Miguel Valdés,2416,,,,,,,,,,,artista,,0,,,,
Luis Núñez Borda,2417,,,,,,,,,,,artista,,0,,,,
Luiz Aquila da Rocha,2418,,,,,,,,,,,artista,,0,,,,
Luz Ángela Echeverri,2419,,,,,,,,,,,artista,,0,,,,
Lydia Mabel Rubli,2420,,,,,,,,,,,artista,,0,,,,
Maia Lúcia Luz,2421,,,,,,,,,,,artista,,0,,,,
Manuel Cardona Bolaños,2422,,,,,,,,,,,artista,,0,,,,
Manuel de los Ríos,2423,,,,,,,,,,,artista,,0,,,,
Manuel Guillermo Cantor,2424,,,,,,,,,,,artista,,0,,,,
Manuel López Oliva,2425,,,,,,,,,,,artista,,0,,,,
Manuel Mora Molina,2426,,,,,,,,,,,artista,,0,,,,
Marc David Levine,2427,,,,,,,,,,,artista,,0,,,,
Márcia Barrozo do Amaral,2428,,,,,,,,,,,artista,,0,,,,
Margarita Lozano Ortiz,2429,,,,,,,,,,,artista,,0,,,,
María Ángela Guzman,2430,,,,,,,,,,,artista,,0,,,,
María Angélica Mejía,2431,,,,,,,,,,,artista,,0,,,,
María Cristina Aragón,2432,,,,,,,,,,,artista,,0,,,,
María Cristina Franco,2433,,,,,,,,,,,artista,,0,,,,
María Cristina Gómez,2434,,,,,,,,,,,artista,,0,,,,
María Cristina Hernández,2435,,,,,,,,,,,artista,,0,,,,
María Cristina Rodríguez,2436,,,,,,,,,,,artista,,0,,,,
María Cristina Silva,2437,,,,,,,,,,,artista,,0,,,,
María del Carmen Espinoza,2438,María del Carmen ,Espinoza ,,,1971,,F,Colombiana,Colombia,Cali,artista,,0,,,,
María del Pilar Rodríguez,2439,,,,,,,,,,,artista,,0,,,,
María do Carmo Secco,2440,,,,,,,,,,,artista,,0,,,,
María Dolores Garcés,2441,,,,,,,,,,,artista,,0,,,,
María Elena Bernal,2442,,,,,,,,,,,artista,,0,,,,
María Elena Molinari,2443,,,,,,,,,,,artista,,0,,,,
María Eugenia Duque,2444,,,,,,,,,,,artista,,0,,,,
María Eugenia Somoza,2445,,,,,,,,,,,artista,,0,,,,
María Fernanda Cardoso,2446,,,,,,,,,,,artista,,0,,,,
María Gabriela Borrero,2447,,,,,,,,,,,artista,,0,,,,
María Isabel Rueda,2448,María Isabel ,Rueda,,,1972,,F,Colombiana,Colombia,Cartagena,artista,,0,,,,
María Luisa Andino,2449,,,,,,,,,,,artista,,0,,,,
María Luisa Pacheco,2450,,,,,,,,,,,artista,,0,,,,
María Mercedes Ángel,2451,,,,,,,,,,,artista,,0,,,,
María Teresa Cano,2452,María Teresa ,Cano,,,1960,,F,Colombiana,Colombia,Medellín ,artista,,0,,,,
María Teresa de Patiño,2453,,,,,,,,,,,artista,,0,,,,
María Teresa Pardo,2454,,,,,,,,,,,artista,,0,,,,
María Tomaselli Cirne,2455,,,,,,,,,,,artista,,0,,,,
María Tomaselli Cirne Lima,2456,,,,,,,,,,,artista,,0,,,,
María Victoria Durán,2457,,,,,,,,,,,artista,,0,,,,
María Vitoria Porras,2458,,,,,,,,,,,artista,,0,,,,
Maríana de Prieto,2459,,,,,,,,,,,artista,,0,,,,
Maríanne Eigenheer,2460,,,,,,,,,,,artista,,0,,,,
Marie Jose Gardere,2461,,,,,,,,,,,artista,,0,,,,
Marino Santa María,2462,,,,,,,,,,,artista,,0,,,,
Marry Lee Hu,2463,,,,,,,,,,,artista,,0,,,,
Martha Elena Vélez,2464,,,,,,,,,,,artista,,0,,,,
Maruja de Rengifo,2465,,,,,,,,,,,artista,,0,,,,
Mary Ann Jordan,2466,,,,,,,,,,,artista,,0,,,,
Mary Ann Scherr,2467,,,,,,,,,,,artista,,0,,,,
Mary Anne Vaughan,2468,,,,,,,,,,,artista,,0,,,,
Max Eugen Mathys,2469,,,,,,,,,,,artista,,0,,,,
Mercedes Amelia Escobar,2470,,,,,,,,,,,artista,,0,,,,
Michel Vandame Blond,2471,,,,,,,,,,,artista,,0,,,,
Miguel Ángel Espinoza,2472,,,,,,,,,,,artista,,0,,,,
Miguel Antonio Castillo,2473,,,,,,,,,,,artista,,0,,,,
Miguel Ángel Cardenas,2474,Miguel Ángel,Cárdenas,Michel Cardena,Miguel Cárdenas Rodriguez,1934,2015,M,Colombia/Holanda,Colombia,Espinal,artista,,0,https://en.wikipedia.org/wiki/Miguel-Ángel_Cárdenas,,,
Miguel Torres Méndez,2475,,,,,,,,,,,artista,,0,,,,
Modesto Braulio Flórez,2476,,,,,,,,,,,artista,,0,,,,
Mohan B. Samant,2477,,,,,,,,,,,artista,,0,,,,
Monica de Rhodes,2478,,,,,,,,,,,artista,,0,,,,
Noemí de Greiff,2479,,,,,,,,,,,artista,,0,,,,
Norman La Liberte,2480,,,,,,,,,,,artista,,0,,,,
Olga de Amaral,2481,Olga ,de Amaral ,,,1936,,F,Colombiana,Colombia,Bogotá,artista,,0,,,,
Olga Lucia Garcia,2482,Olga Lucía ,García,,,1964,,F,Colombiana,Colombia,Bogotá,artista,,0,,,,
Óscar Andrés Becerra,2483,,,,,,,,,,,artista,,0,,,,
Óscar Dante Larroca,2484,,,,,,,,,,,artista,,0,,,,
Pat Martin Bates,2485,,,,,,,,,,,artista,,0,,,,
Patricia Ángel de Greiff,2486,,,,,,,,,,,artista,,0,,,,
Patricio Reig Isaacs,2487,,,,,,,,,,,artista,,0,,,,
Paulo Guilherme Paes,2488,,,,,,,,,,,artista,,0,,,,
Paulo Roberto Leal,2489,,,,,,,,,,,artista,,0,,,,
Paulo Tibirica de Andrade,2490,,,,,,,,,,,artista,,0,,,,
Pedro Millar Mardones,2491,,,,,,,,,,,artista,,0,,,,
Peter W. Milton,2492,,,,,,,,,,,artista,,0,,,,
Piry de Patiño,2493,,,,,,,,,,,artista,,0,,,,
Pucci de Rossi,2494,,,,,,,,,,,artista,,0,,,,
Quesniaux,2495,,,,,,,,,,,artista,,0,,,,
Rafael Rivera Rosa,2496,,,,,,,,,,,artista,,0,,,,
Raúl Santos Serpa,2497,,,,,,,,,,,artista,,0,,,,
Raúl Sotelo Sotomayor,2498,,,,,,,,,,,artista,,0,,,,
René Azcuy Cárdenas,2499,,,,,,,,,,,artista,,0,,,,
René de la Nuez,2500,,,,,,,,,,,artista,,0,,,,
René Valdes Cedeño,2501,,,,,,,,,,,artista,,0,,,,
Ricardo Raúl Ceville,2502,,,,,,,,,,,artista,,0,,,,
Richard P. Lohse,2503,,,,,,,,,,,artista,,0,,,,
Robert Lee Morris,2504,,,,,,,,,,,artista,,0,,,,
Robert Wayne Eastcott,2505,,,,,,,,,,,artista,,0,,,,
Rodrigo Valencia Quijano,2506,,,,,,,,,,,artista,,0,,,,
Rogelio López Marín,2507,,,,,,,,,,,artista,,0,,,,
Rogelio Rodríguez Cobas,2508,,,,,,,,,,,artista,,0,,,,
Roger von Gunten,2509,,,,,,,,,,,artista,,0,,,,
Rolando López de Uribe,2510,,,,,,,,,,,artista,,0,,,,
Rómulo Polo Flórez,2511,,,,,,,,,,,artista,,0,,,,
Rosa de Viterbo,2512,,,,,,,,,,,artista,,0,,,,
Roy De Forest,2513,,,,,,,,,,,artista,,0,,,,
Rubem Campos Grillo,2514,,,,,,,,,,,artista,,0,,,,
Rusell K. Leong,2515,,,,,,,,,,,artista,,0,,,,
Sandra de González,2516,,,,,,,,,,,artista,,0,,,,
Sandra Parmer Zilker,2517,,,,,,,,,,,artista,,0,,,,
Sarah Valerie Gersovitz,2518,,,,,,,,,,,artista,,0,,,,
Sebastían Antonio Matta,2519,,,,,,,,,,,artista,,0,,,,
Sergio de Campos Mello,2520,,,,,,,,,,,artista,,0,,,,
Sergio González Tornero,2521,,,,,,,,,,,artista,,0,,,,
Sergio Trujillo Dávila,2522,,,,,,,,,,,artista,,0,,,,
Sergio Trujillo Jaramillo,2523,Sergio,Trujillo Jaramillo,,,,,,,,,artista,,0,,,,
Sergio Trujillo Magnenat,2524,,,,,,,,,,,artista,,0,,,,
Setephan Charles Allendort,2525,,,,,,,,,,,artista,,0,,,,
Sheilla de Breteville,2526,,,,,,,,,,,artista,,0,,,,
Sherry De Leon,2527,,,,,,,,,,,artista,,0,,,,
Sonia de Zúñiga,2528,,,,,,,,,,,artista,,0,,,,
Stella Bernal de Parra,2529,,,,,,,,,,,artista,,0,,,,
Stephanie E. Pogue,2530,,,,,,,,,,,artista,,0,,,,
Susan Webster Lowry,2531,,,,,,,,,,,artista,,0,,,,
Teófilo do Espiritu Santo,2532,,,,,,,,,,,artista,,0,,,,
Tsai Wen Yin,2533,,,,,,,,,,,artista,,0,,,,
Urs Joaquín Schmid,2534,,,,,,,,,,,artista,,0,,,,
Uzuelle de Morais,2535,,,,,,,,,,,artista,,0,,,,
Vera Chaves Barcellos,2536,,,,,,,,,,,artista,,0,,,,
W. Lee Savage,2537,,,,,,,,,,,artista,,0,,,,
Walter de María,2538,,,,,,,,,,,artista,,0,,,,
Washigton Eduardo Iza,2539,,,,,,,,,,,artista,,0,,,,
William John Laing,2540,,,,,,,,,,,artista,,0,,,,
Zaida del Río,2541,,,,,,,,,,,artista,,0,,,,
Zipacná de León,2542,,,,,,,,,,,artista,,0,,,,
Francisco Icaza,2543,,,,,,,,,,,artista,,0,,,,
Emilio Antonio Nejem,2544,Emilio Antonio,Nejem,,,,,,,,,auspiciador,,0,,,,
Mario Laserna,2545,Mario,Laserna,,,,,,,,,auspiciador,,0,,,,
Ruly Vargas,2546,Ruly,Vargas,,,,,,,,,auspiciador,,0,,,,
Soffy Arboleda de Vega,2547,Soffy,Arboleda de Vega,,,,,,,,,auspiciador,,0,,,,
Sofía de Urdinola,2548,Sofía,De Urdinola,,,,,,,,,auspiciador,,0,,,,
Luis Eduardo Tobón,2549,Luis,Tobón,Luto,Eduardo,,,,,,,artista,,0,,,,
María Sol Barón,2550,,,,,,,,,,,artista,,0,,TRansHisTor(ia),,
Camilo Ordóñez Robayo,2551,,,,,,,,,,,artista,,0,,TRansHisTor(ia),,
3 Libras,2552,,,,,,,,,,,artista,,0,,colectivo,,
Alex Rodríguez,2553,,,,,,,,,,,artista,,0,,,,
Abraham Games,2554,,,,,,,,,,,artista,,0,,,,
Aceneiba Sanches,2555,,,,,,,,,,,artista,,0,,,,
Adalberto  Ceballos,2556,,,,,,,,,,,artista,,0,,,,
Adele Röder,2557,,,,,,,,,,,artista,,0,,,,
Adolfo Riestra,2558,,,,,,,,,,,artista,,0,,,,
Adrián Gaitán,2559,,,,,,,,,,,artista,,0,,,,
Adriana Martínez,2560,,,,,,,,,,,artista,,0,,,,
Adriana Pérez,2561,,,,,,,,,,,artista,,0,,,,
Adriana Salazar,2562,,,,,,,,,,,artista,,0,,,,
Adriano Moreno,2563,,,,,,,,,,,artista,,0,,,,
Adrien Gardère,2564,,,,,,,,,,,artista,,0,,,,
Alberto Cogno,2565,,,,,,,,,,,artista,,0,,,,
Alberto De Michele,2566,,,,,,,,,,,artista,,0,,,,
Alberto Lezaca,2567,,,,,,,,,,,artista,,0,,,,
Alejandra Gutiérrez,2568,,,,,,,,,,,artista,,0,,,,
Alejandra Rincón,2569,,,,,,,,,,,artista,,0,,,,
Alejandro Mancera,2570,,,,,,,,,,,artista,,0,,,,
Alejandro Vasquez,2571,,,,,,,,,,,artista,,0,,,,
Alfonso Castillo,2572,,,,,,,,,,,artista,,0,,,,
Alfonso Mateus,2573,,,,,,,,,,,artista,,0,,,,
Allen Jones,2574,,,,,,,,,,,artista,,0,,,,
Almeida Gilberto,2575,,,,,,,,,,,artista,,0,,,,
Almir Mavignier,2576,,,,,,,,,,,artista,,0,,,,
Alvaro Hurtado,2577,,,,,,,,,,,artista,,0,,,,
Alvaro Vanegas,2578,,,,,,,,,,,artista,,0,,,,
Ámbar Aboharb,2579,,,,,,,,,,,artista,,0,,,,
Amy Franceschini,2580,,,,,,,,,,,artista,,0,,,,
Ana María Villate,2581,,,,,,,,,,,artista,,0,,,,
Ana Salas,2582,,,,,,,,,,,artista,,0,,,,
Andrade C. V.,2583,,,,,,,,,,,artista,,0,,,,
André Parente,2584,,,,,,,,,,,artista,,0,,,,
Andrea Acosta,2585,,,,,,,,,,,artista,,0,,,,
Andrea Echeverri,2586,,,,,,,,,,,artista,,0,,,,
Andrea Rey,2587,,,,,,,,,,,artista,,0,,,,
Andrea Said Camargo,2588,,,,,,,,,,,artista,,0,,,,
Andreas Dress,2589,,,,,,,,,,,artista,,0,,,,
Andrés Felipe Uribe,2590,,,,,,,,,,,artista,,0,,,,
Ángel Beccassino,2591,,,,,,,,,,,artista,,0,,,,
Ángel Ricardo,2592,,,,,,,,,,,artista,,0,,,,
Angela Baena,2593,,,,,,,,,,,artista,,0,,,,
Ángela María Ramirez,2594,,,,,,,,,,,artista,,0,,,,
Angeles Fabri,2595,,,,,,,,,,,artista,,0,,,,
Angélica Castro,2596,,,,,,,,,,,artista,,0,,,,
Angélica María Ramírez,2597,,,,,,,,,,,artista,,0,,,,
Anna María Botero,2598,,,,,,,,,,,artista,,0,,,,
Annette Kelm,2599,,,,,,,,,,,artista,,0,,,,
Anónimo.,2600,,,,,,,,,,,artista,,0,,,,
Antje Majewski,2601,,,,,,,,,,,artista,,0,,,,
Antonio Roda,2602,,,,,,,,,,,artista,,0,,,,
Antonio Saggese,2603,,,,,,,,,,,artista,,0,,,,
Antonio Ungar,2604,,,,,,,,,,,artista,,0,,,,
Antonio Yemail,2605,,,,,,,,,,,artista,,0,,,,
Arley Fernando Fernández Ortiz,2606,,,,,,,,,,,artista,,0,,,,
Armin Hoffmann,2607,,,,,,,,,,,artista,,0,,,,
Armin Linke,2608,,,,,,,,,,,artista,,0,,,,
Arno Mohr,2609,,,,,,,,,,,artista,,0,,,,
Arno Rink,2610,,,,,,,,,,,artista,,0,,,,
Arturo Arcila Uribe,2611,,,,,,,,,,,artista,,0,,,,
Arturo García Bustos,2612,,,,,,,,,,,artista,,0,,,,
Aubrey Beardsley,2613,,,,,,,,,,,artista,,0,,,,
Avi Mograbi,2614,,,,,,,,,,,artista,,0,,,,
Bernard Cohen,2615,,,,,,,,,,,artista,,0,,,,
Bernhard Heisig,2616,,,,,,,,,,,artista,,0,,,,
Betsabé Romero,2617,,,,,,,,,,,artista,,0,,,,
Boada,2618,,,,,,,,,,,artista,,0,,,,
Boris Pérez,2619,,,,,,,,,,,artista,,0,,,,
Boris Viskin,2620,,,,,,,,,,,artista,,0,,,,
Breyner Huertas,2621,,,,,,,,,,,artista,,0,,,,
Bridget Riley,2622,,,,,,,,,,,artista,,0,,,,
Bruno Serralongue,2623,,,,,,,,,,,artista,,0,,,,
Bruno Zeppilli,2624,,,,,,,,,,,artista,,0,,,,
Bustamante,2625,,,,,,,,,,,artista,,0,,,,
Camila Echevarría & Michael Gavish,2626,,,,,,,,,,,artista,,0,,,,
Camila Rodríguez,2627,,,,,,,,,,,artista,,0,,,,
Camilo Aguilera,2628,,,,,,,,,,,artista,,0,,,,
Camilo Aguirre,2629,,,,,,,,,,,artista,,0,,,,
Camilo Restrepo,2630,,,,,,,,,,,artista,,0,,,,
Camilo Velásquez,2631,,,,,,,,,,,artista,,0,,,,
Carla Rippey,2632,,,,,,,,,,,artista,,0,,,,
Carlos Arturo Zuñiga,2633,,,,,,,,,,,artista,,0,,,,
Carlos Augusto Arcila Castillo,2634,,,,,,,,,,,artista,,0,,,,
Carlos Castro,2635,,,,,,,,,,,artista,,0,,,,
Carlos Fadon,2636,,,,,,,,,,,artista,,0,,,,
Carlos Jacanamijoy,2637,,,,,,,,,,,artista,,0,,,,
Carlos Motta,2638,,,,,,,,,,,artista,,0,,,,
Carlos Ortega,2639,,,,,,,,,,,artista,,0,,,,
Carlos Pineda,2640,,,,,,,,,,,artista,,0,,,,
Carlos Tamayo,2641,,,,,,,,,,,artista,,0,,,,
Carmen Sofia Reyes,2642,,,,,,,,,,,artista,,0,,,,
Carolina Ángel Idrobo,2643,,,,,,,,,,,artista,,0,,,,
Carolina Caicedo,2644,,,,,,,,,,,artista,,0,,,,
Carolina Ruiz,2645,,,,,,,,,,,artista,,0,,,,
Catalina Cardenas,2646,,,,,,,,,,,artista,,0,,,,
Catálina Toro,2647,,,,,,,,,,,artista,,0,,,,
Ceballo J.,2648,,,,,,,,,,,artista,,0,,,,
Cecile Hartmann,2649,,,,,,,,,,,artista,,0,,,,
César Del Valle,2650,,,,,,,,,,,artista,,0,,,,
César Torres,2651,,,,,,,,,,,artista,,0,,,,
Charlie Dubbe,2652,,,,,,,,,,,artista,,0,,,,
Cisco Jiménez,2653,,,,,,,,,,,artista,,0,,,,
Clarisse Hahn,2654,,,,,,,,,,,artista,,0,,,,
Clemencia Poveda,2655,,,,,,,,,,,artista,,0,,,,
Clemens von Wedemeyer,2656,,,,,,,,,,,artista,,0,,,,
Cluck Close,2657,,,,,,,,,,,artista,,0,,,,
Coco Fusco,2658,,,,,,,,,,,artista,,0,,,,
Coello F.,2659,,,,,,,,,,,artista,,0,,,,
Colectivo Autoart,2660,,,,,,,,,,,artista,,0,,,,
Colectivo Incinerante,2661,,,,,,,,,,,artista,,0,,,,
Colectivo LTTR,2662,,,,,,,,,,,artista,,0,,,,
Colectivo NN,2663,,,,,,,,,,,artista,,0,,,,
Colectivo Producciones Invisibles,2664,,,,,,,,,,,artista,,0,,,,
Colectivo Sector Reforma,2665,,,,,,,,,,,artista,,0,,,,
Colin Self,2666,,,,,,,,,,,artista,,0,,,,
Comando Libre S-II,2667,,,,,,,,,,,artista,,0,,,,
Cortéz G.,2668,,,,,,,,,,,artista,,0,,,,
Cristiam Fajardo,2669,,,,,,,,,,,artista,,0,,,,
Cynthia Capriata,2670,,,,,,,,,,,artista,,0,,,,
Cyprien Gaillard,2671,,,,,,,,,,,artista,,0,,,,
Danh Vo,2672,,,,,,,,,,,artista,,0,,,,
Dani Gal,2673,,,,,,,,,,,artista,,0,,,,
Daniel Escobar,2674,,,,,,,,,,,artista,,0,,,,
Danilo Di Preti,2675,,,,,,,,,,,artista,,0,,,,
Darel Valença,2676,,,,,,,,,,,artista,,0,,,,
Dash Shaw,2677,,,,,,,,,,,artista,,0,,,,
Dash/Lab,2678,,,,,,,,,,,artista,,0,,,,
David Morán,2679,,,,,,,,,,,artista,,0,,,,
Dayhana Muñoz,2680,,,,,,,,,,,artista,,0,,,,
Dayro Carrasquilla,2681,,,,,,,,,,,artista,,0,,,,
Delo Lindo,2682,,,,,,,,,,,artista,,0,,,,
Diana Cristina Flores Reina,2683,,,,,,,,,,,artista,,0,,,,
Diana Lasso,2684,,,,,,,,,,,artista,,0,,,,
Diana Saldarriaga,2685,,,,,,,,,,,artista,,0,,,,
Díaz R.,2686,,,,,,,,,,,artista,,0,,,,
Diego Hernández,2687,,,,,,,,,,,artista,,0,,,,
Diego León Hoyos,2688,,,,,,,,,,,artista,,0,,,,
Diego Morales,2689,,,,,,,,,,,artista,,0,,,,
Diego Sarmiento,2690,,,,,,,,,,,artista,,0,,,,
Dulce María Núñez,2691,,,,,,,,,,,artista,,0,,,,
E. Goemann,2692,,,,,,,,,,,artista,,0,,,,
E. McKnight Kauffer,2693,,,,,,,,,,,artista,,0,,,,
Edgar Álvarez,2694,,,,,,,,,,,artista,,0,,,,
Edinson Quiñones,2695,,,,,,,,,,,artista,,0,,,,
Eduardo Motato,2696,,,,,,,,,,,artista,,0,,,,
Eduardo Paolozzi,2697,,,,,,,,,,,artista,,0,,,,
Eduardo Terrazas & Lance Wyman,2698,,,,,,,,,,,artista,,0,,,,
Eduardo Tokeshi,2699,,,,,,,,,,,artista,,0,,,,
Edwin Monsalve,2700,,,,,,,,,,,artista,,0,,,,
Ejti Stih,2701,,,,,,,,,,,artista,,0,,,,
