nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Luis Molinari-Flores,172,Luis,Molinari-Flores,,,,,,Ecuador,,,artista,,2,,,,
Lucas Ospina,173,Lucas,Ospina,,,1971,,M,Colombia,Colombia ,Bogotá ,artista,,0,,,,
Lorenzo Jaramillo,174,Lorenzo,Jaramillo,,,,,,Colombia,,,artista,,2,,,,
Leonilda González,175,Leonilda,González,,,,,,Uruguay,,,artista,,2,,,,
Leonardo Herrera,176,Leonardo,Herrera,,,,,,Colombia,,,artista,,2,,,,
Julio Alpuy,177,Julio,Alpuy,,,,,,Uruguay,,,artista,,2,,,,
Juan Manuel Lugo,178,Juan Manuel,Lugo,,,,,,Colombia,,,artista,,2,,,,
Juan Cárdenas,179,Juan,Cárdenas,,,,,,Colombia,,,artista,,2,,,,
José Luis Cuevas,180,José Luis,Cuevas,,,,,,México,,,artista,,2,,,,
José Balmes,181,José,Balmes,,,1925,,M,Chile,Chile ,Santiago,artista,,2,,,,
José Bermúdez,182,José,Bermúdez,,,,,,Cuba,,,artista,,2,,,,
Jorge Alberto Reyes,183,Jorge Alberto,Reyes,,,,,,Colombia,,,artista,,2,,,,
Jorge Mantilla Caballero,184,Jorge,Mantilla Caballero,,,,,,Colombia,,,artista,,2,,,,
John Paul Jones,185,John Paul,Jones,,Jhon Paul Jones,1924,1999,M,Estados Unidos,Estados Unidos,Iowa/Indianola,artista,,2,,,,
Jim Amaral,186,Jim,Amaral,,,,,,Estados Unidos,,,artista,,2,,,,
Jaime Franco,187,Jaime,Franco,,,1963,,M,Colombia,Colombia,Cali,artista,,1,,,,
Jaime González,188,Jaime,González,,,,,,Colombia,,,artista,,2,,,,
Jaime Valencia,189,Jaime,Valencia,,,,,,Colombia,,,artista,,2,,,,
Ivan Rickermann,190,Ivan,Rickermann,,,,,,Colombia,,,artista,,1,,,,
