id_nodo,nombre_nodo,ano_apa,subclass,attr,class_nodo
o.2569,Variante de un tema*Eduardo Mac Entyre*1973,1973,bidimensional,Eduardo Mac Entyre,obra
o.3911,Hacia arriba - variante ii*Eduardo Macentyre*1969,1969,bidimensional,Eduardo Macentyre,obra
o.3053,Del portafolio: en busca de la metáfora perdida*Eduardo Pérez*1980,1980,bidimensional,Eduardo Pérez,obra
o.3260,Serie: PERSIANAS*Eduardo Ruben*1986,1986,bidimensional,Eduardo Ruben,obra
o.2571,Amazonía*Edith Behring*1973,1973,bidimensional,Edith Behring,obra
o.3340,Ara*Édgar Correal*1988,1988,bidimensional,Édgar Correal,obra
o.2815,Personaje*Édgar Sánchez*1976,1976,bidimensional,Édgar Sánchez,obra
o.3502,Delirio*Duberney Marín*1993,1993,bidimensional,Duberney Marín,obra
o.2650,Mercado de flores*Diego Rivera*1930,1930,bidimensional,Diego Rivera,obra
o.3321,Aquí me quedo*Dicken Castro*1987,1987,bidimensional,Dicken Castro,obra
o.3484,Crema para dos*Diana Drews*1997,1997,bidimensional,Diana Drews,obra
o.3499,Texturado*Denise Buraye*1993,1993,bidimensional,Denise Buraye,obra
o.3546,Desnudo sentado (Autorretrato)*Débora Arango*2000,2000,bidimensional,Débora Arango,obra
o.2768,In a dark time*David Becker*1973,1973,bidimensional,David Becker,obra
o.2886,Sin título*Daniel Argimon*1973,1973,bidimensional,Daniel Argimon,obra
o.2185,Sin título*Daniel Senise*1986,1986,bidimensional,Daniel Senise,obra
o.3262,Sin título*Cristobal Gabarron*1986,1986,bidimensional,Cristobal Gabarron,obra
o.2737,Sin título*Corina Briceño*1975,1975,bidimensional,Corina Briceño,obra
o.3045,Del portafolio: en busca de la metáfora perdida*Coqui Calderon*1980,1980,bidimensional,Coqui Calderon,obra
o.2341,Columna*Consuelo Gómez*1987,1987,tridimensional,Consuelo Gómez,obra
o.2884,Pietra rentas*Consuelo Gottay*1977,1977,bidimensional,Consuelo Gottay,obra
o.2872,Des la fenetre*Collette Portal*1977,1977,bidimensional,Collette Portal,obra
o.2462,Sin título*Clelia Cortemiglia*1993,1993,bidimensional,Clelia Cortemiglia,obra
o.2314,Sin título*Cleber Machado*1970,1970,tridimensional,Cleber Machado,obra
o.3254,Georgia fingerprint state ii*Chuck Close*1985,1985,bidimensional,Chuck Close,obra
o.2249,Circo*Christian Staub*1953,1953,bidimensional,Christian Staub,obra
o.3080,Maids and other Servants: THE BUTLER*Charles Roth*1979,1979,bidimensional,Charles Roth,obra
o.3503,Degeneración en generación*César Alfaro Mosquera*1993,1993,bidimensional,César Alfaro Mosquera,obra
o.3491,Cielo y Tierra*Cecilia Vargas*1997,1997,bidimensional,Cecilia Vargas,obra
o.4003,Muerte - vida*Catalina Cárdenas*1991,1991,bidimensional,Catalina Cárdenas,obra
o.2545,Ponope*Carol Summers*1969,1969,bidimensional,Carol Summers,obra
o.3529,Sin título*Carol Young*1998,1998,bidimensional,Carol Young,obra
o.3997,Fosa*Carmenza Delgado*1990,1990,bidimensional,Carmenza Delgado,obra
o.3120,Sin título*Carmen Aguade*1982,1982,bidimensional,Carmen Aguade,obra
o.2169,La angustia incesante*Carmen Aldunate*1982,1982,bidimensional,Carmen Aldunate,obra
o.2190,Sin título*Carlos Alberto García*1986,1986,bidimensional,Carlos Alberto García,obra
o.3977,Sin título*Carlos -Bororo- Maturana*1988,1988,bidimensional,Carlos -Bororo- Maturana,obra
o.3431,Sin título*Carlos Andrade*1997,1997,bidimensional,Carlos Andrade,obra
o.3239,Canción de Pablo Milanes*Carlos Cárdenas*1986,1986,bidimensional,Carlos Cárdenas,obra
o.3979,Autorretrato VII*Carlos Collazo*1988,1988,bidimensional,Carlos Collazo,obra
o.2137,El cenáculo de marinilla*Carlos Correa*1949,1949,bidimensional,Carlos Correa,obra
o.3300,Flora*Carlos Cuellar*1971,1971,bidimensional,Carlos Cuellar,obra
o.2042,Sin título*Carlos Donaire*1971,1971,bidimensional,Carlos Donaire,obra
o.3121,En el ser no. 11*Carlos García Estrada*1982,1982,bidimensional,Carlos García Estrada,obra
o.4015,El mago*Carlos Gómez*1994,1994,bidimensional,Carlos Gómez,obra
o.3017,Ahí está...*Carlos Granada*1978,1978,bidimensional,Carlos Granada,obra
o.3124,Petrolifero*Carlos Nakatani*1982,1982,bidimensional,Carlos Nakatani,obra
o.2733,Sin título*Carlos Revilla*1975,1975,bidimensional,Carlos Revilla,obra
o.3178,Cali me fecit*Carlos Salazar*1986,1986,bidimensional,Carlos Salazar,obra
o.4002,La mujer ilustrada en america*Carlos Zerpa*1991,1991,bidimensional,Carlos Zerpa,obra
o.2730,Sin título*Brian Nissen*1975,1975,bidimensional,Brian Nissen,obra
o.2836,Dialogo*Bolívar Gaudín*1976,1976,bidimensional,Bolívar Gaudín,obra
o.3996,Serie phifs 3*Blanca Obeyda Giraldo*1990,1990,bidimensional,Blanca Obeyda Giraldo,obra
o.1912,Greta*Blanca Restrepo*1967,1967,tridimensional,Blanca Restrepo,obra
o.2729,Sin título*Bezdykian Assadour*1975,1975,bidimensional,Bezdykian Assadour,obra
o.3196,La espera*Benjamín Lira*1983,1983,bidimensional,Benjamín Lira,obra
o.3991,Sin título*Beatriz Ángel*1989,1989,tridimensional,Beatriz Ángel,obra
o.4011,Sin título*Beatriz Duque*1992,1992,bidimensional,Beatriz Duque,obra
o.3117,Sin título*Baruj Salinas*1982,1982,bidimensional,Baruj Salinas,obra
o.3131,Sin título*Baldomero Pestana*1982,1982,bidimensional,Baldomero Pestana,obra
o.2835,Dolientes*Asdrúbal Domínguez*1976,1976,bidimensional,Asdrúbal Domínguez,obra
o.3904,Interacción          no. 2*Ary Brizzi*1968,1968,bidimensional,Ary Brizzi,obra
o.3097,Sin título*Arthur Luiz Piza*1974,1974,bidimensional,Arthur Luiz Piza,obra
o.2126,Solo me quedas tu*Arnulfo Luna*1974,1974,bidimensional,Arnulfo Luna,obra
o.2906,Sin título*Arnoldo Ramírez Amaya*1977,1977,bidimensional,Arnoldo Ramírez Amaya,obra
o.2860,Mutación*Arnaldo Coen*1977,1977,bidimensional,Arnaldo Coen,obra
o.3994,Sin titulo i*Armin Tröger*1990,1990,bidimensional,Armin Tröger,obra
o.2628,Sin título*Armando Londoño*1973,1973,bidimensional,Armando Londoño,obra
o.3048,Del portafolio: en busca de la metáfora perdida*Antonio Alvarado*1980,1980,bidimensional,Antonio Alvarado,obra
o.2536,El encuentro*Antonio Berni*1972,1972,bidimensional,Antonio Berni,obra
o.2862,Columna y torso*Antonio Díaz-Cortés*1977,1977,bidimensional,Antonio Díaz-Cortés,obra
o.2722,Grafismo del yage*Antonio Grass*1975,1975,bidimensional,Antonio Grass,obra
o.2885,Nu*Antonio Joseph*1977,1977,bidimensional,Antonio Joseph,obra
o.2683,Retrato de viaje de mi tía Consuelo*Antonio Martorell*1974,1974,bidimensional,Antonio Martorell,obra
o.1911,Sin título*Antonio Osorio*1967,1967,bidimensional,Antonio Osorio,obra
o.2816,Tronco mecanico*Antonio Peláez*1976,1976,bidimensional,Antonio Peláez,obra
o.2805,Naturaleza muerta*Antonio Rodríguez*1976,1976,bidimensional,Antonio Rodríguez,obra
o.3214,Doña diana y sus tres maridos*Antonio Samudio*1984,1984,bidimensional,Antonio Samudio,obra
o.2871,Cartas a mejico*Antonio Saura*1977,1977,bidimensional,Antonio Saura,obra
o.3118,Sin título*Antoni Tapies*1982,1982,bidimensional,Antoni Tapies,obra
o.2158,Personaje iii*Anselmo Carrera Rojas*1980,1980,bidimensional,Anselmo Carrera Rojas,obra
o.2699,Caracol vermelho*Anna Letycia Quadros*1974,1974,bidimensional,Anna Letycia Quadros,obra
o.2759,Certo-errado*Anna Bella Geiger*1973,1973,bidimensional,Anna Bella Geiger,obra
o.2594,La paloma*Aníbal Gil*1972,1972,bidimensional,Aníbal Gil,obra
o.2984,Yo*Ángela María Restrepo*1980,1980,bidimensional,Ángela María Restrepo,obra
o.3333,Angelus militaus*Ángel Loochkartt*1988,1988,bidimensional,Ángel Loochkartt,obra
o.2678,Campbell's soup -tomato*Andy Warhol*1971,1971,bidimensional,Andy Warhol,obra
o.3543,Poetis abundant aetas*Ana Patricia Palacios*1995,1995,bidimensional,Ana Patricia Palacios,obra
o.2837,"Mitos y leyendas del olvido, iv*Ana María Mazzei*1976",1976,bidimensional,Ana María Mazzei,obra
o.3339,Muro no.53*Ana Durán*1988,1988,bidimensional,Ana Durán,obra
o.4026,Luna llena*Ana Velasco*1999,1999,bidimensional,Ana Velasco,obra
o.3908,El aleph*Álvaro Herrán*1960,1960,bidimensional,Álvaro Herrán,obra
o.3313,Sin título*Álvaro Peñarete*1987,1987,bidimensional,Álvaro Peñarete,obra
o.2589,Apurado no. 1*Alirio Palacios*1972,1972,bidimensional,Alirio Palacios,obra
o.2344,BOCAGRANDE II (De la Serie: Diario Objeto II)*Alicia Barney*1979,1979,tridimensional,Alicia Barney,obra
o.3329,Brumas*Alfredo Lleras Rojas*1988,1988,bidimensional,Alfredo Lleras Rojas,obra
o.3050,Del portafolio: en busca de la metáfora perdida*Alfredo Sinclair*1980,1980,bidimensional,Alfredo Sinclair,obra
o.2663,Pescaderia*Alfredo Zalce*1973,1973,bidimensional,Alfredo Zalce,obra
