id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
159,IV Festival Nacional de Arte,1964,Junio,"Roberto Arcelux, Edit. Pacífico",,"Programa de mano, Catálogo",Librillo,"Grapado, Encolado",0,,,16.5,29.5,72,486.75,,,si,documento completo del salon nacional de arte
160,Este Petróleo me pertenece,1984,Mayo,,,Programa de mano,Plegable,,0,,,21.5,14,4,301,,,,
161,Marta Minujin: Esculturas Recientes,1984,Abril,César Blandín Ron,Gaglianone Establecimiento Gráfico S.A.,Programa de mano,Librillo,Caballete,0,,,19.7,26,24,512.2,,,si,Esculturas cheveres
162,Grabado sobre planchas de arcrilico,1984,,,,,,,,,,,,,0,,,,
163,Audivert,1984,Abril,"Elena Mogollón, Albanidia Ramiréz",OP gráficas ltda,Programa de mano,cuadernillo,caballete,0,,,21,21,8,441,,,si,dibujos lindos
164,Teyé,1985,Marzo,"Elena Mogollón, Albanidia Ramiréz",OP gráficas ltda,Programa de mano,cuadernillo,caballete,0,,,21,21,12,441,,,si,
165,Artistas Colombianos de la Coleccion Privada del Museo de Arte Moderno La Tertulia,1985,Julio,Comfamiliar- tuluá,,Programa de mano,Plegrable,,0,,,21,21,6,441,,,,
166,Arte Gráfico Norte Americano,1984,Enero,,,"Programa de mano, Catálogo",Librillo,Encolado,0,,,20.5,16,62,328,,,,
167,Oscar Muñoz Serie pinturas de agua,1985,Octubre,,,Pro,,,,,,,,,0,,,,
168,Eduard Ramírez Villamizar ,1985,Noviembre,Banco de la república,,material didático,carpeta ,carpeta,0,,,22,28,32,616,,,SI re si,material didáctico muy bonito
169,Rasmussen y M. Sebastian,1985,Octubre,,,programa de mano,cuadernillo,caballete,0,,,21,21,8,441,,,,
170,Artistas Colombianos de la Coleccion Privada del Museo de Arte Moderno La Tertulia,1985,Julio,Comfamiliar- tuluá,,Invitación,Postal,,0,,,13.6,11.6,2,157.76,,,,
171,J.Mina,1964,Abril,,,catálogo,plegable,,1,,,11.1,16.1,4,178.71,,d46.pdf,,
172,Lucy Tejada,1964,Octubre,,,Programa de mano,plegable,,1,,,20.3,10.9,5,221.27,,d47.pdf,,"El documento tiene 5 modulos, de los cuales 4 tienen una dimension de 20.3 x 3.9 y uno principal de 20.3x 10.9"
173,Maria Luisa Andino,1964,Noviembre,,,catálogo,Cuadernillo ,Caballete,1,,,8.5,19,8,161.5,,d48.pdf,,
174,A. Rivera G.,1965,Marzo,,,"Programa de mano, Invitación",Plegable,,1,,,22.7,8.7,4,197.49,,d49.pdf,,
175,Manuel Hernández,1986,Julio,,,"Programa de mano, Catálogo",Plegable,,0,,,21.4,22,4,470.8,,,,
176,Antología Fotográfica 1939 – 1968,1986,Enero,,,Programa de mano,Plegable,,0,,,19.6,28.1,4,550.76,,,,
177,Arte sobre tela ,1986,septiembre,prinko impresores con la direccion de diana mejia y hugo zapata,prinko impresores,Programa de mano,Plegable,,0,,,10,32,14,320,,,si,
178,Monica Meira,1986,junio,,,"Catalogo, programa de mano",Plegable,,0,,,16,20,8,320,,,si,
179,Liliana Porter,1987,Mayo,,MAO Publicidad,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,18.8,20,12,376,,,,
180,Rodolfo Velez,1987,Marzo,,,Programa de mano,"Cuadernillo, Plegable",Caballete,0,,,21.2,21.1,10,447.32,,,,
181,Luis Caballero Acuarelas Y Dibujos,1987,Junio,,,"Programa de mano, Invitación",Poster,,0,,,21.5,28,2,602,,,,
182,Antonio Barrera,1987,Noviembre,Hermann Camargo,Sáenz & Cia. Ltda.,Catálogo,Librillo,Encolado,0,,,24,29,28,696,,,,
183,Ana Mercedes Hoyos,1988,Abril,,,Programa de mano,poster,,0,,,22,28,2,616,,,,
184,Antonio Barrera,1987,Noviembre,,,"Programa de mano, Invitación",poster,,0,,,21.5,28,2,602,,,,
185,Gustavo Zalamea,1987,septiembre,,,"Programa de mano, catalogo",cuadernillo,,0,,,21.5,22,12,473,,,,
