nombre_auspiciador,id_auspiciador,tipo,id_persona,id_organizacion
Unión Carbide,395,organizacion,#N/A,396
Unión Cultural Israelita,396,organizacion,#N/A,397
Universal fotográfica,397,organizacion,#N/A,398
Universidad Autonoma,398,organizacion,#N/A,399
Universidad Autónoma de Occidente,399,organizacion,#N/A,400
Universidad de Antioquia,400,organizacion,#N/A,401
Universidad de Puerto Rico,401,organizacion,#N/A,402
Universidad del Valle,402,organizacion,#N/A,403
Universidad Javeriana,403,organizacion,#N/A,404
Universidad Javeriana Bogotá,404,organizacion,#N/A,405
Urbanización Gran Limonar,405,organizacion,#N/A,406
Vincorte,409,organizacion,#N/A,409
Vivero Marinela,410,organizacion,#N/A,410
Yemail Arquitectura,411,organizacion,#N/A,411
Young & Rubicam,412,organizacion,#N/A,412
Odetto Guersoni,331,persona,337,#N/A
Edith Behring,136,persona,585,#N/A
Valerio Rodrigues,406,persona,759,#N/A
Thereza Miranda,387,persona,794,#N/A
Solange Oliveira,379,persona,823,#N/A
Rossini Perez,359,persona,865,#N/A
Renina Katz,357,persona,931,#N/A
María Bonomi,297,persona,1186,#N/A
Fayga Ostrower,174,persona,1727,#N/A
Ana Letycia Quadros,22,persona,2215,#N/A
Mario Laserna,298,persona,2545,#N/A
Ruly Vargas,360,persona,2546,#N/A
Soffy Arboleda de Vega,377,persona,2547,#N/A
Sofía de Urdinola,378,persona,2548,#N/A
Darel Valença,124,persona,2676,#N/A
Byron López,56,persona,3245,#N/A
Carlos Martíns,65,persona,3246,#N/A
Carmen Vargas,66,persona,3247,#N/A
Coleccionistas privados,96,persona,3248,#N/A
Jaime Upegui,273,persona,3249,#N/A
Morgan Marinetti,308,persona,3250,#N/A
Óscar Darío Morales,335,persona,3251,#N/A
