id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,rol_expo,nombre_registro_agente,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_agente_inicia,ano_agente_fin,sexo,nacionalidad_agente,pais_nacimiento,ciudad_nacimiento,obra_en_coleccion_MTL,tipo_agente,id_organizaciones
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Hernán Muñoz,1533,Hernán,Muñoz,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Alfonso Vinasco,2157,Alfonso,Vinasco,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Mario Roldán,1179,Mario,Roldán,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Hernando Tejada,23,Hernando,Tejada,NA,NA,1924,1999,M,Colombia,Colombia,Pereira,11,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Carlos Ruiz,1997,Carlos,Ruiz,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Julio Abril,1334,Julio,Abril,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Hernando Salazar,1529,Hernando,Salazar,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Carlos Garcés Córdoba,3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
18,18,Pintura abstracta de Carlos Rojas,1957-11-05,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Carlos Rojas,40,Carlos,Rojas,NA,NA,NA,NA,NA,Colombia,NA,NA,6,persona,NA
18,18,Pintura abstracta de Carlos Rojas,1957-11-05,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,José María Vivas Balcázar,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
19,19,Pinturas de Ómar Rayo,1957-11-20,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Ómar Rayo,4,Ómar,Rayo,NA,NA,1928,2010,M,Colombia,Colombia,Roldanillo,28,persona,NA
19,19,Pinturas de Ómar Rayo,1957-11-20,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Alba Inés Vivas,3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
19,19,Pinturas de Ómar Rayo,1957-11-20,1900-01-01,NA,Casona San Antonio,NA,individual,auspiciador,Dirección de Bellas Artes y Extensión Cultural del Valle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,organizacion,153
20,20,Acuarelas de Dicken Castro y cerámica Lucy Tejada,1957-12-06,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Dicken Castro,590,Dicken,Castro,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
20,20,Acuarelas de Dicken Castro y cerámica Lucy Tejada,1957-12-06,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Lucy Tejada,17,Lucy,Tejada,NA,NA,1920,2011,F,Colombia,Colombia,Pereira,14,persona,NA
20,20,Acuarelas de Dicken Castro y cerámica Lucy Tejada,1957-12-06,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Lucy Morales,3266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
21,21,José de Rokha,1958-02-07,1958-02-14,7,Casona San Antonio,NA,individual,artista,José de Rokha,2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
21,21,José de Rokha,1958-02-07,1958-02-14,7,Casona San Antonio,NA,individual,presentador,Mireya Zawadzki,1094,Mireya,Zawadzki,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
21,21,José de Rokha,1958-02-07,1958-02-14,7,Casona San Antonio,NA,individual,auspiciador,Dirección de Bellas Artes y Extensión Cultural del Valle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,organizacion,153
22,22,Exposición de fotografía vallecaucana,1958-03-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
22,22,Exposición de fotografía vallecaucana,1958-03-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,José María Vivas Balcázar,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
23,23,"Exposición de pinturas de Pedro Gross (el mago ""gross"")",1958-05-16,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Pedro Gross,997,Pedro,Gross,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
24,24,José Luis de Figueroa,1958-06-19,1958-06-23,4,Casona San Antonio,NA,individual,artista,José Luis de Figueroa,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
24,24,José Luis de Figueroa,1958-06-19,1958-06-23,4,Casona San Antonio,NA,individual,presentador,Óscar Gerardo Ramos,3262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
25,25,Aníbal Gil,1958-07-01,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Aníbal Gil,666,Aníbal,Gil,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
25,25,Aníbal Gil,1958-07-01,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Enrique Buenaventura,569,Enrique,Buenaventura,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
26,26,Exposición de prensa estudiantil,1958-07-20,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
27,27,Exposición de acuarela chilena,1958-10-17,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
28,28,Carlos Ruiz,1958-11-28,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Carlos Ruiz,1997,Carlos,Ruiz,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
28,28,Carlos Ruiz,1958-11-28,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Nicolás Buenaventura,3268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
29,29,Exposición de dibujo infantil,1958-12-08,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
30,30,Exposición de carteles comerciales,1958-12-13,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
30,30,Exposición de carteles comerciales,1958-12-13,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Jaime Correa,3269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
31,31,Lucy Tejada y María Thereza Negreiros,1958-12-19,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Lucy Tejada,17,Lucy,Tejada,NA,NA,1920,2011,F,Colombia,Colombia,Pereira,14,persona,NA
31,31,Lucy Tejada y María Thereza Negreiros,1958-12-19,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,María Thereza Negreiros,44,María Thereza,Negreiros,NA,María Theresa Negreiros,1930,NA,F,Brasileña,Brasil,Maués,5,persona,NA
31,31,Lucy Tejada y María Thereza Negreiros,1958-12-19,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Álvaro Navia Monedero,3270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
32,32,Apuntes de Viaje,1959-05-29,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Hernando Tejada,23,Hernando,Tejada,NA,NA,1924,1999,M,Colombia,Colombia,Pereira,11,persona,NA
33,33,Jaime López Correa,1959-06-26,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Jaime López Correa,2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
34,34,Exposición de libros y caricaturas españolas,1959-09-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
34,34,Exposición de libros y caricaturas españolas,1959-09-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Manuel M. Bendaño,3271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
35,35,Leandro Velasco,1959-10-30,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Leandro Velasco,1300,Leandro,Velasco,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
35,35,Leandro Velasco,1959-10-30,1900-01-01,NA,Casona San Antonio,NA,individual,auspiciador,Dirección de Bellas Artes y Extensión Cultural del Valle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,organizacion,153
36,36,Arboleda,1959-11-06,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Alberto Arboleda,685,Alberto,Arboleda,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
37,37,Exposición de carteles cinematográficos,1959-12-16,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Varios,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
38,38,Alberto Gutiérrez,1960-01-22,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Alberto Gutiérrez,687,Alberto,Gutiérrez,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
39,39,Exposición de Acuarelas,1960-02-08,1960-02-15,7,Casona San Antonio,NA,individual,artista,Pablo Rocha,1026,Pablo,Rocha,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
40,40,16 pinturas de Juan Antonio Roda,1960-03-04,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Juan Antonio Roda,20,Juan Antonio,Roda,NA,NA,1921,2003,M,Español,España,Valencia,12,persona,NA
41,41,David Manzur,1960-03-25,1900-01-01,NA,Casona San Antonio,NA,individual,artista,David Manzur,24,David,Manzur,NA,NA,1929,NA,M,Colombia,Colombia,Neira/Caldas,10,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Lucy Tejada,17,Lucy,Tejada,NA,NA,1920,2011,F,Colombia,Colombia,Pereira,14,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Emilia Uribe de Mejía,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,María Thereza de patiño,2945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,David Manzur,24,David,Manzur,NA,NA,1929,NA,M,Colombia,Colombia,Neira/Caldas,10,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Hernando Tejada,23,Hernando,Tejada,NA,NA,1924,1999,M,Colombia,Colombia,Pereira,11,persona,NA
50,42,Exposición Colectiva de Pintura,1960-04-28,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Leandro Velasco,1300,Leandro,Velasco,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
