"","agente","rol"
"514","Marcia Schvartz","artista"
"515","Santiago Spinosa","artista"
"516","León Tenenbaum","artista"
"517","Clorindo Testa","artista"
"518","Luis Wells","artista"
"519","Daniel Zelaya","artista"
"520","Nadín Ospina","artista"
"521","Eduardo Ramírez Villamizar","artista"
"522","Hugo Zapata","artista"
"523","Ronny Vayda","artista"
"524","John Castles","artista"
"525","Rosemberg Sandoval","artista"
"526","Mónica Negret","artista"
"527","Lydia Azout","artista"
"528","Jorge Alberto Reyes","artista"
"529","Julián Aristizábal","artista"
"530","Marcelo Aguirre","artista"
"531","Cynthia Capriata","artista"
"532","Catalina Cardenas","artista"
"533","Isable de Obaldia","artista"
"534","Ignacio Espla","artista"
"535","Angeles Fabri","artista"
"536","Pilar Flores","artista"
"537","Jaime Iregui","artista"
"538","Jenny Jaramillo","artista"
"539","Víctor Laignelet","artista"
"540","Francisco Liu","artista"
"541","Luis Luna","artista"
"542","Patricia Mariaca","artista"
"543","Hernán Pazos","artista"
"544","Jaime Romero","artista"
"545","Carlos Salazar","artista"
"546","Ejti Stih","artista"
"547","Diego Sarmiento","artista"
"548","Eduardo Tokeshi","artista"
"549","Tabo Toral","artista"
"550","Leon Trujillo","artista"
"551","Gaston Ugalde","artista"
"552","Santiago Uribe Olguin","artista"
"553","Roberto Valcarcel","artista"
"554","Marcia Valladares","artista"
"555","Alejandro Vasquez","artista"
"556","Patricia Vega","artista"
"557","Bruno Zeppilli","artista"
"558","Carlos Zerpa","artista"
"559","Paige Abadi","artista"
"560","Germán Londoño","artista"
"561","Germán Botero","artista"
"562","Manuel Lago","artista"
"563","Jaime Sáenz","artista"
"564","Fernando Botero","artista"
"565","Francisco Javier Smythe","artista"
"566","Luis Fernando Peláez","artista"
"567","Nair Benedicto","artista"
"568","Mario Carvo Neto","artista"
"569","Hugo Denizart","artista"
"570","Carlos Fadon","artista"
"571","Luis Carlos Felizardo","artista"
"572","Juca Martins","artista"
"573","Miguel Rio Barco","artista"
"574","Antonio Saggese","artista"
"575","Evandro Teixeira","artista"
"576","Ruven Afanador","artista"
"577","María Cristina Cortés","artista"
"578","Ana María Rueda","artista"
"579","Bibiana Vélez","artista"
"580","José Horacio Martínez","curador-artista"
"581","Sergio Camporeale","artista"
"582","Pablo Van Wong","artista"
"583","Tina Celis","artista"
"584","Clinton Adams","artista"
"585","Joseph Almyda","artista"
"586","Wulf Barsch","artista"
"587","Billy Al Bengstons","artista"
"588","Tom Berg","artista"
"589","Larry Brown","artista"
"590","Louisa Chase","artista"
"591","Roy De Forest","artista"
"592","Robert Fichter","artista"
"593","Daniele Fuller","artista"
"594","Gail Gash","artista"
"595","Harmony Hammond","artista"
"596","David Hare","artista"
"597","James Havard","artista"
"598","Roberto Juárez","artista"
"599","Robert Kushner","artista"
"600","James McGarrell","artista"
"601","Dan Rizzie","artista"
"602","Frank Romero","artista"
"603","Italo Scanga","artista"
"604","Jaune Quick-To-See Smith","artista"
"605","Steven Sorman","artista"
"606","Cinda Sparling","artista"
"607","Gael Stack","artista"
"608","Robert Zakanitch","artista"
"609","Marite Zelt","artista"
"610","Susan Zimmerman","artista"
"611","Diego Rivera","artista"
"612","José Clemente Orozco","artista"
"613","Wifredo Lam","artista"
"614","René Portocarrero","artista"
"615","Roberto Sebastián Matta","artista"
"616","Antonio Berni","artista"
"617","Ruth Bessoudo Courvoisier","artista"
"618","Oswaldo Guayasamín","artista"
"619","Fernando Arias","artista"
"620","Martha Combariza","artista"
"621","María Dolores Garcés","artista"
"622","Juan Andrés Posada Jaramillo","artista"
"623","José Alejandro Restrepo","curador-artista"
"624","Doris Salcedo","artista"
"625","Elías Heim","curador-artista"
"626","Luis Chacón","artista"
"627","Jacobo Borges","artista"
"628","Corina Briceño","artista"
"629","Alexis Gorodine","artista"
"630","Édgar Sánchez","artista"
"631","Oswaldo Vivas","artista"
"632","Alirio Palacios","artista"
"633","Pedro Zapata","artista"
"634","Rolado Peña","artista"
"635","Mariano Rodríguez","artista"
"636","José Bermúdez","artista"
"637","Aldo Menéndez","artista"
"638","Joaquín Ferrer","artista"
"639","Moisés Finalé","artista"
"640","José Franco","artista"
"641","Isabel Gimeno","artista"
