id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
87,87,Lucy Tejada,1964-10-23,1900-01-01,NA,Casona San Antonio,NA,individual,87-Lucy Tejada-1964,1964,NA,NA,NA,NA
88,88,María Luisa Andino,1964-11-13,1964-11-27,14,Casona San Antonio,NA,individual,88-María Luisa Andino-1964,1964,NA,NA,NA,NA
89,89,Jan Bartelsman y Alberto Gutiérrez,1964-11-27,1964-12-15,18,Casona San Antonio,NA,colectiva,89-Jan Bartelsman y Alberto Gutiérrez-1964,1964,NA,NA,NA,NA
90,90,Enrique Grau,1965-02-12,1900-01-01,NA,Casona San Antonio,NA,individual,90-Enrique Grau-1965,1965,NA,NA,NA,NA
91,91,Augusto Rivera,1965-04-09,1900-01-01,NA,Casona San Antonio,NA,individual,91-Augusto Rivera-1965,1965,NA,NA,NA,NA
92,92,Hernando Tejada,1965-04-23,1900-01-01,NA,Casona San Antonio,NA,individual,92-Hernando Tejada-1965,1965,NA,NA,NA,NA
93,93,Alejandro Obregón,1965-07-19,1900-01-01,NA,Casona San Antonio,NA,individual,93-Alejandro Obregón-1965,1965,NA,NA,NA,NA
94,94,Angelino Osvaldo Lauvivi,1965-07-23,1900-01-01,NA,Casona San Antonio,NA,individual,94-Angelino Osvaldo Lauvivi-1965,1965,NA,NA,NA,NA
95,95,Lucy Tejada,1965-07-30,1900-01-01,NA,Casona San Antonio,NA,individual,95-Lucy Tejada-1965,1965,NA,NA,NA,NA
96,96,Jan Bartelsman,1965-10-01,1900-01-01,NA,Casona San Antonio,NA,individual,96-Jan Bartelsman-1965,1965,NA,NA,NA,NA
97,97,Beatriz González,1965-12-03,1900-01-01,NA,Casona San Antonio,NA,individual,97-Beatriz González-1965,1965,NA,NA,NA,NA
