"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini","ano_decimal"
"126","Winston Kennedy","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"127","Winston Kennedy","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"128","Winston Kennedy","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"129","Winston Kennedy","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"130","Winston Kennedy","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"131","Winston Kennedy","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"132","Winston Kennedy","John Scott",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"133","Winston Kennedy","George Smith",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"134","Winston Kennedy","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"135","Winston Kennedy","James Wells",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"136","Winston Kennedy","Charles White",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"137","Winston Kennedy","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"138","George Smiths","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"139","George Smiths","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"140","George Smiths","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"141","George Smiths","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"142","George Smiths","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"143","George Smiths","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"144","George Smiths","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"145","George Smiths","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"146","George Smiths","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"147","George Smiths","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"148","George Smiths","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"149","George Smiths","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"150","George Smiths","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"151","George Smiths","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"152","George Smiths","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"153","George Smiths","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"154","George Smiths","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"155","George Smiths","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"156","George Smiths","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"157","George Smiths","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"158","George Smiths","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"159","George Smiths","John Scott",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"160","George Smiths","George Smith",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"161","George Smiths","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"162","George Smiths","James Wells",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"163","George Smiths","Charles White",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"164","George Smiths","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"165","Willim Harris","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"166","Willim Harris","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"167","Willim Harris","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"168","Willim Harris","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"169","Willim Harris","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"170","Willim Harris","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"171","Willim Harris","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"172","Willim Harris","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"173","Willim Harris","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"174","Willim Harris","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"175","Willim Harris","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"176","Willim Harris","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"177","Willim Harris","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"178","Willim Harris","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"179","Willim Harris","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"180","Willim Harris","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"181","Willim Harris","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"182","Willim Harris","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"183","Willim Harris","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"184","Willim Harris","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"185","Willim Harris","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"186","Willim Harris","John Scott",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"187","Willim Harris","George Smith",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"188","Willim Harris","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"189","Willim Harris","James Wells",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"190","Willim Harris","Charles White",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"191","Willim Harris","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"192","Acklyn Lynch","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"193","Acklyn Lynch","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"194","Acklyn Lynch","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"195","Acklyn Lynch","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"196","Acklyn Lynch","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"197","Acklyn Lynch","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"198","Acklyn Lynch","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"199","Acklyn Lynch","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"200","Acklyn Lynch","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"201","Acklyn Lynch","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"202","Acklyn Lynch","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"203","Acklyn Lynch","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"204","Acklyn Lynch","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"205","Acklyn Lynch","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"206","Acklyn Lynch","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"207","Acklyn Lynch","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"208","Acklyn Lynch","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"209","Acklyn Lynch","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"210","Acklyn Lynch","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"211","Acklyn Lynch","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"212","Acklyn Lynch","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"213","Acklyn Lynch","John Scott",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"214","Acklyn Lynch","George Smith",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"215","Acklyn Lynch","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"216","Acklyn Lynch","James Wells",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"217","Acklyn Lynch","Charles White",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"218","Acklyn Lynch","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"219","Pierre Keller","John Michael Armleder",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"220","Pierre Keller","Anton Bruhin",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"221","Pierre Keller","Luciano Castelli",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"222","Pierre Keller","Bignia Corradini",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"223","Pierre Keller","Martin Disler",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
"224","Pierre Keller","Markus Dulk",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04,1977.09315068493
